id,host_id,host_name,host_since,host_response_rate,host_acceptance_rate,host_listings_count,neighbourhood_cleansed,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
68962,343320,Helen & Journey,1/11/11,1,0.93,1,"Shaw, Logan Circle",DC,20001,38.91042775,-77.02061907,House,Private room,2,1,1,1,0,94,0,0,0,0,1,25,2,21,6,26,41,308,150,3/12/11,9/29/15,98,10,10,10,10,9,10,2.7
3469191,1640384,Christopher,1/23/12,1,0.5,2,"Shaw, Logan Circle",DC,20001,38.90797863,-77.01899723,Loft,Entire home/apt,5,2.5,2,2,0,283,1650,4400,500,120,4,50,3,1125,0,0,22,297,15,8/5/14,7/20/15,100,10,10,10,10,10,10,1.06
6778286,25534764,Joseph,1/3/15,1,0,1,"Shaw, Logan Circle",DC,20005,38.90575583,-77.02955147,Apartment,Entire home/apt,3,1,1,3,0,127,700,0,0,0,1,0,3,16,0,0,0,0,0,,,0,0,0,0,0,0,0,0
495042,871824,Tony,7/26/11,0.93,0.96,2,"Shaw, Logan Circle",DC,20001,38.90851208,-77.02558253,Townhouse,Private room,6,1,1,3,0,79,0,2000,0,0,1,26,1,365,21,46,76,349,69,5/29/12,9/16/15,91,9,10,10,10,9,9,1.69
7220873,32791385,Elgeo,5/6/15,1,1,1,"Shaw, Logan Circle",DC,20001,38.91358762,-77.02563638,Apartment,Entire home/apt,3,1,1,1,0,110,600,0,0,0,1,0,1,1125,0,0,0,62,1,8/3/15,8/3/15,100,10,10,10,10,10,10,0.48
7524042,37920286,Capitol Comfort,7/8/15,1,0.97,3,"Shaw, Logan Circle",DC,20001,38.91107388,-77.02320663,Dorm,Shared room,6,1,1,6,0,38,0,0,0,0,1,38,1,1125,28,58,88,363,2,8/28/15,9/4/15,0,0,0,0,0,0,0,1.62
5990979,8008783,Cliff,8/7/13,0.92,0.94,30,"Shaw, Logan Circle",DC,20009,38.91285095,-77.03385691,House,Entire home/apt,9,2.5,3,5,0,480,3000,10500,0,200,6,5,3,1125,7,29,55,325,5,5/5/15,9/29/15,95,10,10,10,10,10,10,0.99
1086168,5750063,Alex,4/3/13,0.8,1,1,"Shaw, Logan Circle",DC,20005,38.90950939,-77.0326777,Apartment,Entire home/apt,6,2,2,3,0,372,2275,6500,0,80,4,40,3,1125,1,21,51,326,33,10/5/13,9/18/15,96,10,9,10,10,10,9,1.36
6688513,25197983,Nya,12/25/14,1,1,1,"Shaw, Logan Circle",DC,20001,38.91035119,-77.02361655,Apartment,Entire home/apt,3,1,1,2,0,125,700,2625,0,60,2,0,1,30,9,27,57,57,11,7/3/15,9/24/15,93,9,9,9,10,9,9,3.55
3890477,647625,Ehsan,5/31/11,1,0.79,1,"Shaw, Logan Circle",DC,20005,38.90760295,-77.02877664,Apartment,Private room,2,1,1,1,0,89,524,1848,200,30,1,20,1,1125,12,41,71,161,3,5/16/15,8/29/15,93,9,9,10,10,10,10,0.64
6262632,22586098,Luisa,10/15/14,0.4,0.71,2,"Shaw, Logan Circle",DC,20001,38.90990321,-77.02164964,Apartment,Shared room,1,1,1,1,0,80,518,0,0,0,1,0,1,1125,25,55,85,360,5,5/8/15,7/5/15,96,9,9,9,10,10,9,1.01
1519460,8008783,Cliff,8/7/13,0.92,0.94,30,"Shaw, Logan Circle",DC,20001,38.90633377,-77.02626349,Apartment,Entire home/apt,5,1,0,3,0,90,0,0,0,100,1,0,3,999,11,31,38,313,29,9/19/13,9/16/15,91,10,9,9,9,9,9,1.17
5173258,6059772,Jon,4/23/13,0.92,1,4,"Shaw, Logan Circle",DC,20001,38.90712189,-77.0190373,Apartment,Entire home/apt,3,1,0,2,0,110,700,2700,0,35,0,0,2,1125,13,40,70,345,32,2/25/15,9/21/15,84,9,8,8,8,9,9,4.34
3985441,20655478,Elizabeth,8/28/14,0.88,1,1,"Shaw, Logan Circle",DC,20001,38.91206899,-77.02654477,Apartment,Entire home/apt,3,1,2,3,0,100,595,0,0,40,1,20,3,1125,0,0,0,0,1,9/25/15,9/25/15,100,10,10,10,10,10,10,1
5089898,14039163,Patrick,4/8/14,1,1,1,"Shaw, Logan Circle",DC,20009,38.90988182,-77.03371969,Apartment,Entire home/apt,4,2,2,2,0,250,1000,0,250,75,4,25,1,100,3,3,10,41,15,3/23/15,9/21/15,97,10,9,10,10,10,9,2.31
