id,host_id,host_response_rate,host_acceptance_rate,host_listings_count,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,square_feet,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,price
883653,1541121,1,0,1,20010,38.93515516,-77.04503466,8,2.5,3,4,0,325,65,4,10,2,14,0,0,0,238,16,96,10,10,10,10,10,9,0.52,325
8072054,37085756,0.84,1,1,20009,38.92564607,-77.03345582,3,1,1,1,0,100,50,2,25,1,1125,0,29,59,334,1,100,10,10,10,10,10,10,1,150
7304678,11223523,1,1,1,20010,38.92890359,-77.0282783,2,1,1,1,0,0,0,1,0,1,1125,10,31,57,323,0,0,0,0,0,0,0,0,0,50
7592092,12430746,1,1,1,20009,38.92892661,-77.03503421,2,2,1,1,0,0,20,1,35,2,1125,14,22,22,63,4,100,10,10,10,10,10,10,1.94,56
6151170,22373900,0.63,0.8,1,20010,38.93172201,-77.03738968,7,1,1,3,0,0,0,1,0,1,1125,22,52,82,357,3,100,10,10,10,10,9,10,0.99,178
1446230,3574033,1,0.81,9,20009,38.92616266,-77.03641707,2,1,0,1,0,500,200,1,0,3,900,0,0,15,290,14,93,9,9,9,9,9,9,0.57,129
4708608,23295575,1,0.91,2,20010,38.93367157,-77.02039198,6,1,2,4,0,300,130,4,35,2,1125,7,13,17,238,0,0,0,0,0,0,0,0,0,120
6782456,20519355,0.8,0.83,1,20001,38.92866813,-77.02117309,2,1,0,1,0,0,50,2,0,1,9,0,0,8,99,5,95,10,9,10,10,8,10,1.63,80
1732465,9127573,0,0,1,20010,38.9340261,-77.03982902,3,1,1,1,0,0,40,2,15,2,93,0,0,0,182,27,99,10,10,10,10,10,10,1.12,99
3248125,16428944,1,1,1,20001,38.92899796,-77.02654094,4,1,1,2,0,0,0,1,0,1,1125,0,6,21,296,4,87,9,8,9,10,9,9,1.64,100
5952733,12243051,0.99,0.98,222,20001,38.92518271,-77.02288617,6,1.5,3,3,0,300,95,1,0,3,1125,0,0,0,0,4,65,7,7,8,8,7,6,1.13,135
3771,4795,0,0,1,20009,38.92760467,-77.0392648,2,1,1,1,0,0,0,1,0,1,1125,0,0,0,0,1,0,0,0,0,0,0,0,0.01,125
8337838,39512200,0.8,1,1,20010,38.92968779,-77.04034392,1,1,1,1,0,300,30,1,10,2,14,12,42,72,72,1,100,8,10,10,10,8,8,1,55
7819250,13275854,1,0.95,5,20010,38.93065414,-77.03806356,2,1,1,1,0,0,30,1,5,1,1125,20,33,37,304,4,100,10,10,10,10,10,10,4,79
5240901,26925527,0.5,0,1,20010,38.93675514,-77.03626334,3,1,2,2,0,95,25,4,15,1,1125,0,0,0,217,4,95,9,9,10,10,8,9,0.61,99
867394,3188808,1,1,1,20011,38.93614428,-77.03081921,3,1,1,1,0,150,35,2,15,2,30,3,3,3,91,38,96,9,9,9,10,9,10,1.19,85
6371767,22878089,1,0.78,1,20009,38.92231094,-77.03632893,2,1,0,1,0,0,0,1,0,2,1125,0,18,44,319,9,98,10,10,10,10,10,9,1.96,155
8373029,14127538,0.8,0,1,20009,38.92343644,-77.02901054,3,1,0,2,0,200,50,1,20,3,30,28,58,88,88,0,0,0,0,0,0,0,0,0,95
4965177,17600662,0,0,1,20009,38.92363426,-77.02934861,4,1,1,2,0,300,0,2,10,14,1125,0,0,0,76,0,0,0,0,0,0,0,0,0,70
3147049,15976825,1,1,1,20009,38.92715103,-77.03403707,5,2,2,2,0,500,100,1,0,3,1125,6,29,48,317,39,96,10,10,10,10,9,10,2.6,225
6103261,14692970,0.97,1,8,20010,38.92975714,-77.04257361,2,1,1,2,0,150,55,1,5,3,1125,1,31,61,336,3,100,10,10,10,10,10,10,0.66,105
7562544,18066659,1,0.5,1,20010,38.92861843,-77.03141651,2,1,1,1,0,350,35,1,50,1,30,0,0,0,28,2,80,9,10,10,10,10,10,1.22,70
6120759,31757177,0,0,1,20010,38.93503395,-77.02756901,5,2.5,2,2,0,500,70,5,20,4,12,0,0,0,136,0,0,0,0,0,0,0,0,0,315
3806750,7086859,0.8,0.8,2,20009,38.92133691,-77.03461786,2,1,1,1,0,0,75,1,0,1,1125,9,25,55,313,0,0,0,0,0,0,0,0,0,110
4374832,612793,0.9,0.67,1,20001,38.92675697,-77.02505738,4,1,1,2,0,300,25,2,10,2,7,0,19,49,66,12,98,10,10,10,10,9,9,1.13,99
